station_code,station_name,state,zone
AA,Ataria,UP,NER
AADR,Amb Andaura,,
AAG,Angar,MH,CR
AAH,Itehar,MP,NCR
AAK,Ankaikila,,
AAL,Amlai,MP,SECR
AAM,Angadippuram,KL,SR
AAP,Ambiapur,UP,NCR
AAR,Adesar,GJ,WR
AAS,Asranada,RJ,NWR
AAV,Ambav,GJ,WR
AAY,Aralvaymozhi,TN,SR
AB,Ambur,TN,SR
ABB,Abada,WB,SER
ABD,Ambli Road,GJ,WR
ABE,Ambikeshwar,MP,NCR
ABEO,Pattaravakkam,,SR
ABFC,Ambari Falakata,WB,NFR
ABGT,Arbagatta Halt,KA,SWR
ABH,Ambarnath,MH,CR
ABI,Ambaturai,TN,SR
ABKA,Ambika Kalna,WB,ER
ABKP,Ambikapur,CG,SECR
ABLE,Ambale,MH,CR
ABO,Asthal Bohar,HR,NR
ABP,Akbarpur,UP,NR
ABR,Abu Road,RJ,NWR
ABS,Abohar,PB,NR
ABSA,Ambassa,TR,NFR
ABU,Ambattur,TN,SR
ABW,Abutara Halt,WB,NFR
ABX,Ambari,MH,SCR
ABY,Ambivli,MH,CR
ABZ,Adgaon Buzurg,MH,SCR
ACG,Achegaon,MH,CR
ACH,Achalganj,UP,NR
ACK,Acharapakkam,TN,SR
ACL,Ancheli,GJ,WR
ACLE,Azimganj City,WB,ER
ACN,Adhichchanur,,
ACND,Acharya Narendra Dev Nagar,UP,NR
AD,Adoni,AP,SCR
ADB,Adilabad,AP,SCR
ADD,Adas Road,GJ,WR
ADE,Adari Road,GJ,WR
ADF,Adina,WB,NFR
ADH,Mumbai Andheri,MH,WR
ADHL,Adihalli,KA,SWR
ADI,Ahmedabad Junction,GJ,WR
ADL,Andul,WB,SER
ADR,Mandi Adampur,HR,NWR
ADRA,Adra Junction,WB,SER
ADST,Adi Saptagram,WB,ER
ADT,Aduturai,TN,SR
ADTL,Adhartal,MP,WCR
ADTP,Adityapur,JH,SER
ADVI,Adavali,MH,KR
AE,Amreli,GJ,WR
AED,Aulenda,UP,NCR
AEH,Anant Paith,MP,NCR
AEJ,Arnej,GJ,WR
AEK,Anekal Road,KA,SWR
AEL,Ateli,HR,NWR
AEP,Amreli Para,GJ,WR
AF,Agra Fort,UP,NCR
AFK,Angamaly,KL,SR
AFR,Asafpur,UP,NR
AG,Aranghata,WB,ER
AGA,Agra City,UP,NCR
AGAE,Agradwip,WB,ER
AGAS,Agas,,
AGB,Ambagaon,CG,ECoR
AGC,Agra Cantt.,UP,NCR
AGCI,Angadi,GJ,WR
AGD,Agasod,MP,NCR
AGDL,Agran Dhulgaon,MH,CR
AGE,Angai,RJ,NCR
AGI,Amguri,AS,NFR
AGL,Amargol,KA,SWR
AGN,Amgaon,MH,SECR
AGP,Agarpara,WB,ER
AGQ,Asirgarh Road,MP,CR
AGR,Amargarh,MP,WR
AGT,Agthori,AS,NFR
AGTL,Agartala,TR,NFR
AGV,Angua,WB,SER
AGY,Agori Khas,UP,NCR
AGZ,Amagura,CG,ECoR
AH,Achhnera Junction,UP,NCR
AHA,Abhaipur,BR,ER
AHD,Aherwadi,KA,SWR
AHH,Ahmadgarh,PB,NR
AHI,Ashti,MH,CR
AHJU,Ahju,HP,NR
AHL,Ajharail,WB,NFR
AHLR,Ahalyapur,UP,NER
AHM,Ahimanpur,UP,NER
AHN,Ahiran,WB,ER
AHO,Adarshnagar,RJ,NWR
AHQ,Ahera Halt,UP,NR
AHU,Ahirauli,UP,NER
AHZ,Adhinpur,UP,NR
AI,Adipur,GJ,WR
AIA,Ajaraka,RJ,NWR
AIG,Algawan,UP,NR
AIH,Alawalpur I Pur,UP,NR
AII,Ajmer Junction,RJ,NWR
AILM,Ailam,UP,NR
AIP,Attippattu,TN,SR
AIPP,Attipattu Pudu Nagar,TN,SR
AIR,Alindra Road,GJ,WR
AIT,Ait,UP,NCR
AJ,Ajgain,UP,NR
AJE,Anjar,GJ,WR
AJH,Ajhai,UP,NCR
AJI,Anjhi Shahabad,UP,NR
AJIT,Ajit,RJ,NWR
AJJ,Arakkonam Junction,TN,SR
AJKI,Ajitkheri,MP,WR
AJL,Ajitwal,PB,NR
AJM,Adraj Moti,GJ,WR
AJN,Ajnod,MP,WR
AJNI,Ajni,MH,CR
AJP,Ajjampur,KA,SWR
AJR,Ajaibpur,UP,NCR
AJRE,Aujari,AS,NFR
AJTM,Ajitgill Matta,PB,NR
AJU,Arjuni,MH,SECR
AK,Akola Junction,MH,CR
AKAT,Akkampet,AP,SR
AKD,Akodia,MP,WR
AKE,Akanapet,AP,SCR
AKI,Adarki,MH,CR
AKJ,AkbarGanj,UP,NR
AKK,Akkihebbalu,KA,SWR
AKL,Anakhol,GJ,WR
AKM,Arambakkam,TN,SR
AKN,Akbarnagar,BR,ER
AKNR,Adhyatmik Nagar,UP,NR
AKOR,Akalkot Road,MH,CR
AKOT,Akot,MH,SCR
AKP,Anakapalle,AP,SCR
AKR,Akolner,MH,CR
AKRA,Akra,WB,ER
AKRD,Akurdi,MH,CR
AKS,Ankuspur,UP,NER
AKT,Akaltara,CG,SECR
AKU,Angalakuduru,AP,SCR
AKV,Ankleshwar Junction,GJ,WR
AKVD,Akividu,AP,SCR
AKVX,Akividu,,
AKW,Akora,UP,NCR
AKY,Akkurti,AP,SCR
AKZ,Akashi,JH,SER
AL,Attili,AP,SCR
ALAI,Alai,UA,NWR
ALB,Alia Bada,GJ,WR
ALD,Allahabad Junction,UP,NCR
ALER,Aler,AP,SCR
ALGP,Algapur,AS,
ALJ,Alai,UA,NER
ALJN,Aligarh Junction,UP,NCR
ALK,Alakkudi,TN,SR
ALL,Alal,PB,NR
ALLP,Alappuzha,KL,SR
ALM,Alamanda,AP,ECoR
ALMR,Alampur,GJ,WR
ALMW,Almaw,UP,NER
ALN,Alandi,MH,CR
ALNI,Alniya,RJ,WCR
ALNP,Akelahanspur Halt,UP,NER
ALP,Alapakam,TN,SR
ALPR,Alampur Road,AP,SCR
ALS,Amlori Sarsar,BR,NER
ALU,Ariyalur,TN,SR
ALUR,Alur Halt,KA,SWR
ALV,Anklav,GJ,WR
ALW,Alwal,AP,SCR
ALY,Allahabad City,UP,NER
AMA,Atamanda,UP,NER
AMB,Ambodala,OR,ECoR
AMBR,Ambika Rohina,MH,SCR
AMC,Amritapura,KA,SWR
AMDI,Amdi Halt,MH,SECR
AME,Amethi,UP,NR
AMG,Alamnagar,UP,NR
AMH,Azamgarh,UP,NER
AMI,Amravati,MH,CR
AMIN,Amin,HR,NR
AMJ,Amin Gaon,AS,NFR
AML,Amalsad,GJ,WR
AMLA,Amla Junction,MP,CR
AMLI,Amli,RJ,WCR
AMLO,Amlo,,ECR
AMLP,Amalpur,GJ,WR
AMLR,Amala Nagar,KL,SR
AMM,Atirampattinam,TN,SR
AMNR,Ammanur,TN,SR
AMO,Amolwa,BR,ECR
AMOD,Amod,GJ,WR
AMP,Ahmadpur Junction,WB,ER
AMPA,Ambalappuzha,KL,SR
AMPL,Ammapali,BR,ER
AMPR,Amarpura Rathan,RJ,NWR
AMQ,Ammuguda,AP,SCR
AMRO,Amroha,UP,NR
AMS,Amausi,UP,NR
AMSA,Ammasandra,KA,SWR
AMT,Ammapet,TN,SR
AMVA,Amaravila Halt,KL,SR
AMW,Aman Vadi,MH,SCR
AMX,Amlakhurd,MP,SCR
AMY,Akathumuri,KL,SR
AN,Amalner,MH,WR
ANA,Aslana,MP,WCR
ANAH,Aunta Halt,BR,ECR
ANAS,Anas,MP,WR
ANB,Ammanabrolu,AP,SCR
ANC,Annechakanahali,KA,SWR
ANCR,Anchuri,WB,SER
AND,Andampaliam,TN,SR
ANDI,Adarsh Nagar,DL,NR
ANDN,Anand Nagar,UP,NER
ANE,Anantarajupet,AP,SCR
ANF,Anandapuram,KA,SWR
ANG,Ahmadnagar,MH,CR
ANGL,Angul,OR,ECoR
ANGR,Angadgeri Halt,KA,SWR
ANH,Ankorah Akorha,BR,ECR
ANI,Ajanti,MP,WR
ANJ,Anjangaon,MH,CR
ANK,Ankai,MH,CR
ANKI,Anakhi,GJ,WR
ANKL,Ankola,KA,KR
ANMD,Arang Mahanadi,CG,ECoR
ANND,Anand Junction,GJ,WR
ANNR,Annanur,TN,SR
ANO,Anjani,MH,KR
ANP,Anandatandavapuram,TN,SR
ANPR,Anpara,UP,ECR
ANR,Anara,WB,SER
ANSB,Anandpur Sahib,PB,NR
ANT,Anantnag,JK,NR
ANTU,Antu,UP,NR
ANU,Anangur,TN,SR
ANV,Annavaram,AP,SCR
ANVR,Delhi Anand Vihar Terminus,DL,NR
ANVT,Delhi Anand Vihar Terminus,DL,NR
ANW,Anawal,GJ,WR
ANY,Arumuganeri,TN,SR
AO,Aonla,UP,NR
AON,Araon,UP,NCR
AONI,Amoni,AS,NFR
AOR,Argora,JH,SER
AP,Ashokapuram,KA,SWR
APA,Amarpura,RJ,NWR
APB,Anuppambattu,TN,SR
APD,Alipur Duar,WB,NFR
APDC,Alipur Duar Court,WB,NFR
APDJ,Alipur Duar Junction,WB,NFR
APE,Andanappettai,TN,SR
APG,Anupganj,UP,NR
APH,Anupgarh,RJ,NWR
APJ,Amarpur Jorasi,RJ,NWR
APK,Aruppukkottai,,
APL,Appikatla,AP,SCR
APN,Ayodhyapattanam,TN,SR
APQ,Aditpara,,
APR,Anuppur Junction,MP,SECR
APT,Anaparti,AP,SCR
APTA,Apta,MH,CR
APU,Anipur,AS,NFR
AQG,Ashapura Gomat,RJ,NWR
ARA,Ara,BR,ECR
ARAG,Arag,MH,CR
ARCL,Arunachal,AS,NFR
ARD,Amarda Road,OR,SER
ARE,Arnetha,RJ,WCR
ARG,Angar Ghat,BR,ECR
ARGD,Arigada,,ECR
ARGL,Argul,OR,ECoR
ARGP,Aralaguppe,KA,SWR
ARH,Amhera,UP,NR
ARI,Antri,MP,NCR
ARJ,Aunrihar Junction,UP,NER
ARK,Arakku,AP,ECoR
ARKA,Arkha,UP,NR
ARL,Aroul,UP,NER
ARMU,Armur,,
ARN,Arand,CG,ECoR
ARNA,Arnia,RJ,NWR
ARNH,Arjunahalli,KA,SWR
AROR,Aroor Halt,KL,SR
ARP,Atrampur,UP,NR
ARPL,Arepalli Halt,AP,SCR
ARQ,Arariya Court,BR,NFR
ARR,Arariya,,NFR
ARS,Arasur,TN,SR
ARU,Arasalu,KA,SWR
ARV,Arni Road,TN,SR
ARVI,Arvi,MH,CR
